cnfname_x,dataset,cnf_basename,train_test_x,neighbours_conn,center_conn,close_nodes_ratio,spath_length_avg,ind_dif_avg,spath_ind_dif,ind_spath_ratio,sel_nodes_ratio,cnfname_y,train_test_y,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,DIAMETER-mean_preprocessed,DIAMETER-coeff-variation_preprocessed,DIAMETER-min_preprocessed,DIAMETER-max_preprocessed,DIAMETER-entropy_preprocessed,DIAMETER-featuretime_preprocessed,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean_preprocessed,SP-bias-coeff-variation_preprocessed,SP-bias-min_preprocessed,SP-bias-max_preprocessed,SP-bias-q90_preprocessed,SP-bias-q10_preprocessed,SP-bias-q75_preprocessed,SP-bias-q25_preprocessed,SP-bias-q50_preprocessed,SP-unconstraint-mean_preprocessed,SP-unconstraint-coeff-variation_preprocessed,SP-unconstraint-min_preprocessed,SP-unconstraint-max_preprocessed,SP-unconstraint-q90_preprocessed,SP-unconstraint-q10_preprocessed,SP-unconstraint-q75_preprocessed,SP-unconstraint-q25_preprocessed,SP-unconstraint-q50_preprocessed,sp-featuretime_preprocessed,vars-reduced-depth-1_preprocessed,vars-reduced-depth-4_preprocessed,vars-reduced-depth-16_preprocessed,vars-reduced-depth-64_preprocessed,vars-reduced-depth-256_preprocessed,unit-featuretime_preprocessed,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars_preprocessed,lobjois-log-num-nodes-over-vars_preprocessed,lobjois-featuretime_preprocessed,cnfname,orig_runtime,preprocessed_runtime,Unnamed: 0,DIAMETER-coeff-variation_orig,DIAMETER-entropy_orig,DIAMETER-featuretime_orig,DIAMETER-max_orig,DIAMETER-mean_orig,DIAMETER-min_orig,SP-bias-coeff-variation_orig,SP-bias-max_orig,SP-bias-mean_orig,SP-bias-min_orig,SP-bias-q10_orig,SP-bias-q25_orig,SP-bias-q50_orig,SP-bias-q75_orig,SP-bias-q90_orig,SP-unconstraint-coeff-variation_orig,SP-unconstraint-max_orig,SP-unconstraint-mean_orig,SP-unconstraint-min_orig,SP-unconstraint-q10_orig,SP-unconstraint-q25_orig,SP-unconstraint-q50_orig,SP-unconstraint-q75_orig,SP-unconstraint-q90_orig,lobjois-featuretime_orig,lobjois-log-num-nodes-over-vars_orig,lobjois-mean-depth-over-vars_orig,name,sp-featuretime_orig,unit-featuretime_orig,vars-reduced-depth-1_orig,vars-reduced-depth-16_orig,vars-reduced-depth-256_orig,vars-reduced-depth-4_orig,vars-reduced-depth-64_orig
sc14-app_test_preprocessed/UCG-15-10p0.cnf,sc14-app,UCG-15-10p0.cnf,test,0.126206056,0.118417125,0.991309758,15,66470,66455,4431,0.5,sc14-app_test_preprocessed/UCG-15-10p0_features_preprocessed.txt,test,199304,1005834,101643,657921,0.960823667,0.52880665,4.42,0.154491193,0.478233676,0.87806237,0,1,1.460534515,2.76E-05,0.48032185,1.97E-05,9.84E-05,1.117700388,0,0.559307272,0.856361174,0.14,2.76E-05,0.680957842,1.06E-05,0.000106396,3.13940628,0.234044424,0.149276419,0,0.789473684,3.07158867,1.39E-05,0.797472765,0,7.60E-05,3.019551606,0.593621423,3.03E-05,0.600920316,7.60E-06,0.000123115,17.86,-1,0,-1,0,-512,-1,0,-1,0,0,20.04,19.46153846,0.047759075,17,20,0.796883839,2.04,22.78571429,1.61381125,0,145,46,1,30,1,11,13.63674773,0.948662832,0,40.63043478,32.46666667,1,24.92857143,2,12,2,0.526244623,0.626825741,1.20E-08,0.973724427,0.878030909,0.044273708,0.835205553,0.183744511,0.640888061,0.018365752,1.166337266,1.69E-07,0.110414901,0.049213934,6.33E-06,0.034064491,0.001857649,0.005679682,3.62,0.007801816,0.007801816,0.007801816,0.007801816,0.007801816,0.14,-512,0,0,0,0,0,64.6,67513,0,0,0,0,0,0,5.28451,0,2.3141,0,2.4,23691.5,1.21317,18763,1.41421,18763,0,0,2.65494,0.793842,1.2524,0.372883,2.42,0.192040234,0.451871162,2.12,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UCG-15-10p0.cnf,1092.64,582.846,182,0.012869696,0.278769372,2.02,22,21.08,21,0.57849631,1,0.581298609,2.00E-09,0.051646874,0.25540461,0.773445643,0.872320632,0.904416658,1.066986179,0.094975636,0.019903473,0,5.19E-06,0.002109047,0.006848258,0.037516974,0.051570745,2.02,0.671605728,0.209915117,./feature_computations/UCG-15-10p0_features_orig.csv,3.58,1.53,0.003428863,0.424530619,0.562638162,0.013813702,0.562638162
sc14-app_test_preprocessed/003-80-8.cnf,sc14-app,003-80-8.cnf,test,0.126442697,0.113156691,0.999850835,4,4612,4608,1153,0.5,sc14-app_test_preprocessed/003-80-8_features_preprocessed.txt,test,13408,478484,12699,286837,0.055831168,0.668139048,1.82,0.044272531,0.342857005,0.759497743,0,1,2.182400571,0.000448125,0.200869017,0.000157493,0.001574927,1.457827855,0,0.001174883,0.040374847,0.08,0.000448125,0.443042279,2.79E-05,0.000913411,4.758315728,0.06843103,0.046803518,0,0.5,2.771552119,6.02E-05,0.504404123,3.49E-06,0.000237068,3.455917306,0.155182211,6.81E-05,0.418552484,1.74E-05,0.000139452,0.44,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,9.290322581,0.048858497,9,10,0.602440264,2.02,138.260274,0.470302351,10,308,219,36,175,104,151,8.801398145,0.504529135,5.4,34.23076923,11.875,5.935064935,8.951807229,6.463235294,7.673913043,2,0.141749008,0.668669533,1.23E-05,0.888395496,0.279815723,0.035337364,0.200557561,0.071017512,0.120823449,0.045618526,1.04177101,0.000189193,0.39194732,0.109171246,0.003258619,0.060349682,0.01490556,0.029558707,3.26,0,0,0,0,0.000944956,0.1,-512,0,0,0,0,0,63.7,833.25,0.137914,2109.75,0.00890276,2105,2085,2135,0.879999,0.378766,0.858027,0.0172726,2.32,779.9,0.0134677,2089.1,0.0133676,2087.5,2043,2119,0.172434,0.269823,0.849713,0.00574459,2.4,0.06730244,0.13327271,2,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/003-80-8.cnf,677.428,505.102,344,0,0,2.01,10,10,10,0.800792878,0.829395895,0.160519347,3.31E-05,0.029795855,0.066943371,0.117051553,0.238096659,0.347814313,0.419518981,0.448705036,0.19840834,0.015001551,0.105352118,0.130734687,0.180584374,0.27114097,0.310689253,2,0.159330095,0.067085749,./feature_computations/003-80-8_features_orig.csv,3.05,0.03,0,0.000472441,0.002283465,0.00023622,0.001338583
sc14-app_test_preprocessed/UCG-20-10p1.cnf,sc14-app,UCG-20-10p1.cnf,test,0.126671923,0.119973203,0.989693664,16,86114,86098,5382,0.5,sc14-app_test_preprocessed/UCG-20-10p1_features_preprocessed.txt,test,259258,1388006,137695,959232,0.882842514,0.446997181,5.48,0.143547129,0.480520414,0.854593401,0,1,1.448394939,2.05E-05,0.46053923,1.45E-05,7.26E-05,1.117110916,0,0.513863174,0.867531525,0.18,2.05E-05,0.718002906,7.30E-06,7.30E-05,3.228429311,0.228807677,0.150110685,0,0.84,3.061595208,1.03E-05,0.825059637,0,5.00E-05,3.094750652,0.584996122,2.24E-05,0.627062803,5.21E-06,8.65E-05,30.98,-1,0,-1,0,-512,-1,0,-1,0,0,20.04,17.66666667,0.049919836,16,19,1.087856559,2.02,14.21428571,2.567760524,0,143,30,0,6,0,1,150.8845547,1.352833801,0,604,435,4.233333333,406,9.571428571,20.16666667,2,0.508971853,0.660021972,0,0.974385486,0.87569638,0.043545517,0.833180736,0.143472475,0.62293698,0.018442464,1.168599291,7.30E-08,0.109737384,0.04974381,9.88E-07,0.034761917,0.001163066,0.005773985,4.98,0.100439377,0.145299394,0.145299394,0.145299394,0.145299394,0.58,-512,0,0,0,0,0,64.78,110566,0,0,0,0,0,0,6.81905,0,2.8856,0,2.54,16755,0,0,0,0,0,0,3.00396,0,1.11001,0,2.54,0.164726388,0.366845216,2.08,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UCG-20-10p1.cnf,1849.47,1471.59,334,0.008273053,0.139060798,2.06,22,21.03125,21,0.515588049,1,0.620696595,1.00E-09,0.121440008,0.304129223,0.777228956,0.882610969,0.935422717,0.99374732,0.091961069,0.019066997,0,4.29E-07,0.001847413,0.009391154,0.035061995,0.047565473,2.12,0.702208312,0.161115222,./feature_computations/UCG-20-10p1_features_orig.csv,4.59,3.2,0.001659974,0.059179147,0.594009597,0.006639894,0.594009597
sc14-app_test_preprocessed/UTI-20-10p1.cnf,sc14-app,UTI-20-10p1.cnf,test,0.12548384,0.120290568,0.990612348,75,86756,86681,1156,0.5,sc14-app_test_preprocessed/UTI-20-10p1_features_preprocessed.txt,test,260342,1391257,138424,962658,0.880757672,0.445224576,5.48,0.143793538,0.480885048,0.854494527,0,1,1.448127418,2.04E-05,0.463118891,1.44E-05,7.22E-05,1.117007857,0,0.51381072,0.867672631,0.2,2.04E-05,0.714077517,7.27E-06,7.27E-05,3.227384305,0.228715975,0.151278884,0,0.846153846,3.064571344,1.02E-05,0.822859998,0,4.99E-05,3.101667537,0.586885478,2.22E-05,0.624784381,5.19E-06,8.62E-05,31.36,-1,0,-1,0,-512,-1,0,-1,0,0,20.04,118.0555556,0.011459572,116,120,1.585934113,2.06,3.909090909,1.424121943,0,18,12,0,5,0,1,12.40656566,1.049568025,0,38,30.58333333,1,29.55555556,1,7,2,0.506555454,0.66468586,1.30E-08,0.974092574,0.8756666,0.030759668,0.831524206,0.147130582,0.61981761,0.01835342,1.167038301,5.80E-08,0.110197379,0.04931326,1.42E-06,0.034950547,0.00124734,0.005769446,5.18,0.071671097,0.267908744,0.267908744,0.267908744,0.267908744,0.68,-512,0,0,0,0,0,64.82,112827,0,0,0,0,0,0,6.81305,0,2.98709,0,2.58,10966,0,51294,0,51294,51294,51294,2.48496,0,0.963774,0,2.58,0.160003323,0.382366339,2.1,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UTI-20-10p1.cnf,1032.04,689.01,548,0.004598286,0.779277121,2.07,117,115.6896552,115,0.477064693,1,0.641315413,2.46E-06,0.159417853,0.353281976,0.779115724,0.88417299,0.951203039,1.0015698,0.081056355,0.018792245,0,6.47E-07,0.00180636,0.009094309,0.035217719,0.046268432,2.08,0.479200701,0.181443529,./feature_computations/UTI-20-10p1_features_orig.csv,4.63,16.4,1.44E-05,0.000295657,0.025210205,3.61E-05,0.00585546
sc14-app_test_preprocessed/009-80-4.cnf,sc14-app,009-80-4.cnf,test,0.126442697,0.113156691,0.999850835,4,4384,4380,1096,0.5,sc14-app_test_preprocessed/009-80-4_features_preprocessed.txt,test,13408,478480,12700,286385,0.055748031,0.670757896,1.72,0.044345898,0.340741185,0.760822007,0,1,2.179814444,0.000448127,0.200919855,0.00015748,0.001574803,1.457759268,0,0.001159279,0.040222079,0.08,0.000448127,0.442385097,3.84E-05,0.000907869,4.720124097,0.067584281,0.045855163,0,0.375,2.757361298,5.95E-05,0.503415003,3.49E-06,0.000240934,3.441030438,0.153377446,6.82E-05,0.418158329,1.75E-05,0.000129197,0.38,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,9.291666667,0.048917992,9,10,0.603637252,2.02,138.0266667,0.412403144,4,224,199,38,184,104,147,7.580612942,0.320776428,5.75,19.45454546,9.053571429,5.926229508,8.044198895,6.311594203,6.904761905,2,0.140396492,0.668093772,3.03E-06,0.73613974,0.274535933,0.035234799,0.203729386,0.069370974,0.118254565,0.046229,1.044742582,0.00015994,0.392722592,0.110057369,0.003324024,0.0607489,0.015055037,0.030151903,3.2,0,0,0,0,0.001023622,0.18,-512,0,0,0,0,0,63.68,820.75,0.0631177,2092.62,0.0215956,2078,2045,2160,0.838831,0.276877,0.856168,0.0100989,2.28,773.889,0.0255547,2087.22,0.0201833,2084,2033,2136,0.152761,0.367164,0.849789,0.00415658,2.4,0.063190462,0.132698589,2.02,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/009-80-4.cnf,250.825,160.719,44,0,0,2.03,10,10,10,0.80091271,0.829432452,0.160403452,3.32E-05,0.029626414,0.06692013,0.117057393,0.238096769,0.347365196,0.419762176,0.448564198,0.198676883,0.015001594,0.105376008,0.130743417,0.180962265,0.271300192,0.310984167,2.03,0.154502614,0.067431624,./feature_computations/009-80-4_features_orig.csv,3.06,0.03,0,0.000314911,0.002204377,7.87E-05,0.001259644
sc14-app_test_preprocessed/MD5-28-2.cnf,sc14-app,MD5-28-2.cnf,test,0.114550703,0.092456389,0.998792562,6,2629,2623,438,0.5,sc14-app_test_preprocessed/MD5-28-2_features_preprocessed.txt,test,8281,62554,6251,60958,0.32474804,0.026181961,0.16,0.102546015,0.406176931,0.726382119,0,1,1.762352019,0.000661525,0.204684536,0.000319949,0.000959846,1.165722994,0,0.008530464,0.273729453,0.02,0.000661525,0.728827688,0.000131238,0.001771712,3.311439613,0.019803729,0.053994427,0,0.416666667,0.81922976,0.000188834,0.5993864,3.28E-05,0.000639785,3.099035099,0.312739919,0.000156411,0.450007329,6.56E-05,0.00031169,0.08,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,9.533057851,0.054044035,9,11,0.734422411,2.02,179.8513514,0.255008861,35,258,230,128,206,166,185,5.682761481,0.126178742,4.228571429,7.337719298,6.655813953,4.686131387,6.174528302,5.128834356,5.791666667,2,0.06469522,1.9560357,0,0.731904907,0.251130563,1.48E-05,0.054972278,0.000311007,0.005007974,0.032450382,1.256562713,2.36E-05,0.200940115,0.111202202,0.000217199,0.041264442,0.001249882,0.021698919,0.84,0,0,0,0,0.001279795,0.06,-512,0,0,0,0,0,79.96,287.231,0.268611,1073.77,0.0223016,1071,1043,1102,0.645502,0.40243,0.820263,0.0234485,2.24,447.143,1.19413,1045.29,0.147602,1066,1031,1098,0.208894,0.27133,0.81982,0.146164,2.26,0.057293397,0.168543048,2,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-28-2.cnf,5000,5000,358,0.054177636,0.755457962,2.01,11,9.632102273,9,1.869885475,0.732033065,0.069421889,0,2.17E-05,0.000557532,0.007137729,0.061161837,0.284983623,1.322162652,0.181952919,0.02721466,2.52E-05,0.000183466,0.001029225,0.018192028,0.040231377,0.110434637,2,0.168573221,0.059605222,./feature_computations/MD5-28-2_features_orig.csv,0.95,0.02,0,0,0.006128703,0,0
sc14-app_test_preprocessed/grieu-vmpc-31.cnf,sc14-app,grieu-vmpc-31.cnf,test,0.143634923,0.153609951,1,1,318,317,318,0.5,sc14-app_test_preprocessed/grieu-vmpc-31_features_preprocessed.txt,test,961,146909,961,146909,0,0,0.2,0.006541464,0.499687869,0.77204199,0,1,1.049349382,0.00272497,0.290471812,0.002081165,0.032258065,0.673614124,0,0.393120912,0.99957797,0.02,0.00272497,0.003985258,0.002661512,0.002729581,0.646101803,0.526353199,0.001467637,0.521410579,0.534526854,0.303763946,0.001512294,0.249287015,0.000946164,0.002076115,4.239371348,0.579379071,0.001524668,0.077632088,0.000810025,0.001572402,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,3,0,3,3,0,2.02,1155.8,0.582482962,408,2364,2364,408,1233,667,1107,39.92808925,0.073193079,35.47039741,43.94607843,43.94607843,35.47039741,42.17344173,38.93358714,39.11694153,1.98,0.691669378,0.001987544,0.686765802,0.699094005,0.691540915,0.691540548,0.691540667,0.691540589,0.691540615,0,0,0,0,0,0,0,0,0,0.72,0,0.247658689,0.850156087,0.850156087,0.850156087,0.32,-512,0,0,0,0,0,113.44,241.318,9.42694,460.813,0.103453,465,443,485,48.8136,0.123852,0.990308,0.0975858,2.12,59.4216,6.08622,458.471,0.105751,463,443,482,51.1917,0.098889,1.00148,0.0177426,2.12,0.780589791,0.926440341,2,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/grieu-vmpc-31.cnf,249.362,564.993,348,0,0,2.01,3,3,3,0.001987536,0.699094641,0.691669447,0.686765805,0.691540557,0.691540603,0.691540646,0.691540805,0.69154147,0,0,0,0,0,0,0,0,0,2.01,0.942591725,0.748800439,./feature_computations/grieu-vmpc-31_features_orig.csv,0.77,5.1,0,0.003121748,0.664932362,0,0.113423517
sc14-app_test_preprocessed/beempgsol2b1.cnf,sc14-app,beempgsol2b1.cnf,test,0.119698905,0.109338142,0.996220139,6,8741,8735,1456,0.5,sc14-app_test_preprocessed/beempgsol2b1_features_preprocessed.txt,test,26455,76534,7099,33629,2.726581209,1.275833358,0.36,0.211097565,0.468625739,0.806251648,0,1,1.533233114,0.000447518,1.270882232,0.00028173,0.056768559,1.313957242,0,0.32840703,0.802997413,0,0.000447518,1.362702021,0.000208154,0.023729519,2.251219273,0.138149597,0.164831787,0,0.985257985,2.214770132,0.000194649,1.346939463,0,0.006809599,2.256567278,0.523863332,0.001236004,2.381530839,0.000148681,0.037110827,0.1,0.001689362,1.856890319,0.000178417,0.269440067,4.272123444,0.196446949,0.721651402,0.000831633,0.651515152,3.375723929,19.78,5.196526508,0.082433266,4,6,0.578522982,2.02,599,0.388352845,250,1218,973,341,685,476,577,24.06685676,0.228954743,11.65223881,33.38958991,30.54043393,17.57983193,29.45854922,21.28113879,25.09558068,2,0.368378208,0.753245039,0,1,0.903920145,0.09962592,0.471600086,0.134017451,0.298384439,0.08278692,1.267390555,0,0.488302209,0.265982214,0.016070333,0.090791741,0.025898254,0.034458427,1.3,0.000140865,0.001126919,0.006761516,0.075503592,0.080433864,0.24,-512,0,0,0,0,0,58.64,134.867,2.35398,1739.89,0.153633,1786,1732,1815,0.729924,0.821447,0.883102,0.144833,2.16,316.481,0.320988,1756.82,0.116704,1777,1739,1823,0.339768,0.853928,0.910115,0.0509729,2.44,0.121268037,0.319194985,2,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/beempgsol2b1.cnf,2749,2484.62,566,0.030239746,0.122979622,2.02,6,5.01124926,4,0.770395622,1,0.346097795,0,0.100510892,0.13473932,0.287423077,0.407749275,0.874196703,1.274141019,0.49053585,0.083375317,0,0.01590826,0.025842543,0.034472392,0.097116182,0.249361728,2,0.347424221,0.116423074,./feature_computations/beempgsol2b1_features_orig.csv,0.7,0.55,0.000281215,0.003937008,0.166760405,0.001124859,0.024465692
sc14-app_test_preprocessed/UTI-20-10p0.cnf,sc14-app,UTI-20-10p0.cnf,test,0.125095206,0.119693396,0.990162394,75,86557,86482,1154,0.5,sc14-app_test_preprocessed/UTI-20-10p0_features_preprocessed.txt,test,259616,1374599,138040,945963,0.880730223,0.453121317,5.98,0.145925369,0.48132553,0.857259467,0,1,1.450241795,2.04E-05,0.464440499,1.45E-05,7.24E-05,1.117469787,0,0.522472866,0.865687136,0.2,2.04E-05,0.707664486,7.40E-06,7.51E-05,3.211099483,0.228564795,0.15081262,0,0.833333333,3.034028271,1.02E-05,0.814921117,0,5.39E-05,3.083439911,0.586884476,2.23E-05,0.619802971,5.29E-06,8.77E-05,32.58,-1,0,-1,0,-512,-1,0,-1,0,0,20.04,118.3529412,0.010014633,116,120,1.486895227,2.1,3.083333333,1.150157991,0,12,7,0,7,1,2,18.9265873,0.973984419,0,52.33333333,46.5,1.5,46.5,3,18,2,0.510941172,0.657901235,5.00E-09,0.973210768,0.876298782,0.036141791,0.833351287,0.153516278,0.62427592,0.018343765,1.170572016,1.64E-07,0.10777209,0.049532967,1.56E-06,0.034679597,0.001316451,0.005633158,5.34,0,0.000173863,0.000470878,0.000470878,0.000470878,0.54,-512,0,0,0,0,0,64.78,112402,0,0,0,0,0,0,6.63144,0,3.0152,0,2.54,15467,0,51245,0,51245,51245,51245,2.89091,0,0.994488,0,2.54,0.11344085,0.32034193,2.12,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UTI-20-10p0.cnf,1284.68,853.678,134,0.004807028,0.81004301,2.03,117,115.5625,115,0.473935001,1,0.647476245,4.49E-06,0.166306599,0.351200101,0.79264962,0.888315493,0.950434618,0.989907786,0.086081098,0.018588546,0,7.35E-07,0.001916449,0.009396387,0.034173124,0.046065753,2,0.746453951,0.163652235,./feature_computations/UTI-20-10p0_features_orig.csv,4.46,14.73,7.23E-06,0.000289207,0.025175513,2.89E-05,0.005841991
sc14-app_test_preprocessed/q_query_3_L80_coli.sat.cnf,sc14-app,q_query_3_L80_coli.sat.cnf,test,0.090299952,0.27062743,0.588686504,5,84661,84656,16932,0.5,sc14-app_test_preprocessed/q_query_3_L80_coli.sat_features_preprocessed.txt,test,250567,1183233,34658,364013,6.229701656,2.25052402,9.8,0.095210885,0.456020528,0.709382123,0,1,1.469223471,0.000107279,0.482464535,5.77E-05,0.000548214,1.227611515,0,0.113421773,0.76936538,0.04,0.000107279,2.1655869,2.75E-06,0.001780156,2.651014467,0.378319862,0.169389189,0,1,2.565194128,3.73E-05,2.092303798,0,0.000738985,3.044551223,0.440206806,8.06E-05,2.611333904,5.49E-06,0.003472403,2.08,-1,0,-1,0,-512,-1,0,-1,0,0,20.06,6,0,6,6,0,2.04,764.8571429,0.525699576,136,1279,1279,136,1164,393,754,13.09448902,0.171899703,9.47418738,16.29867084,16.29867084,9.47418738,15.31945701,10.67108753,12.91911765,2,0.631209533,0.325135178,1.16E-05,1,0.919287584,0.397856585,0.702080829,0.576807454,0.62059815,0.057610685,0.764320645,0,1,0.097951524,0.000887772,0.086496498,0.015622062,0.066026671,2.9,2.89E-05,0.001846616,0.004616539,0.016561833,0.016561833,0.34,-512,0,0,0,0,0,62.28,5446.67,1.45857,4606.33,0.866095,6859,0,6859,7.80436,1.03405,1.16191,0.276838,2.24,1467.5,0.297178,5180,0.666737,6883,0,6929,1.81933,1.53557,1.00354,0.0328113,2.34,0.027815415,0.079542131,2,/home/v7q8/scratch/2014_SAT_Competition/sc14-app/q_query_3_L80_coli.sat.cnf,408.505,231.862,592,0.061501909,0.463349877,2.01,7,6.174757282,6,0.324804101,1,0.63017512,0.000110829,0.383176298,0.571769623,0.62063406,0.696015444,0.915461833,0.696175776,1,0.056724569,0,0.001148716,0.016649779,0.06601372,0.085474894,0.097939008,2,0.08797681,0.030315527,./feature_computations/q_query_3_L80_coli.sat_features_orig.csv,3.03,0.06,2.87E-05,0.00063115,0.00063115,2.87E-05,0.00063115
