,DIAMETER-coeff-variation,DIAMETER-entropy,DIAMETER-featuretime,DIAMETER-max,DIAMETER-mean,DIAMETER-min,SP-bias-coeff-variation,SP-bias-max,SP-bias-mean,SP-bias-min,SP-bias-q10,SP-bias-q25,SP-bias-q50,SP-bias-q75,SP-bias-q90,SP-unconstraint-coeff-variation,SP-unconstraint-max,SP-unconstraint-mean,SP-unconstraint-min,SP-unconstraint-q10,SP-unconstraint-q25,SP-unconstraint-q50,SP-unconstraint-q75,SP-unconstraint-q90,lobjois-featuretime,lobjois-log-num-nodes-over-vars,lobjois-mean-depth-over-vars,name,sp-featuretime,unit-featuretime,vars-reduced-depth-1,vars-reduced-depth-16,vars-reduced-depth-256,vars-reduced-depth-4,vars-reduced-depth-64
0,0.075715067,0.68630071,2.02,7.0,6.558441558,6.0,0.714563062,1.0,0.335567593,8.9271e-05,0.067497948,0.098569739,0.307347256,0.567925614,0.604801579,0.700601155,0.468123045,0.064048123,-0.0,0.025273301,0.028206104,0.038174581,0.102139233,0.130079955,2.0,0.6660324,0.191368642,./feature_computations/minandmaxor128_features_orig.csv,3.09,1.52,0.0,0.000103924,0.001597838,1.2991e-05,0.00046766
1,0.078520696,0.932950975,2.02,9.0,7.909090909,7.0,0.779408153,0.999091456,0.266931268,5.372e-06,0.044919017,0.089113522,0.206043956,0.455970634,0.493953114,0.650296707,0.411098143,0.0465978,-0.0,0.02140219,0.024408149,0.035072746,0.06202241,0.086690525,2.0,0.50087206,0.201650975,./feature_computations/minandmaxor128_features_0.csv,4.16,55.21,0.000440652,0.000690354,0.050293033,0.000440652,0.009488697
2,0.07257045,0.814607623,2.01,9.0,7.635703919,7.0,0.499498842,0.990082099,0.556756072,0.0,7.251e-06,0.563625755,0.695746563,0.728628504,0.751129033,0.827364493,0.217389262,0.065816696,-0.0,0.010069741,0.013352405,0.049591128,0.132750747,0.133471159,2.0,0.359340619,0.102058819,./feature_computations/post-c32s-ss-8_features_orig.csv,2.15,0.21,0.0,0.0,0.008720296,0.0,0.000290677
3,0.051930429,0.81264161,2.02,12.0,10.68,9.0,0.672732687,0.999996581,0.472116529,1.96e-07,0.02080047,0.124400735,0.588210855,0.692951962,0.910762739,1.114218986,0.477087555,0.09196289,0.0,0.006538536,0.019637486,0.032251145,0.160542358,0.249290118,2.0,0.353875906,0.06435253,./feature_computations/post-c32s-ss-8_features_0.csv,2.29,0.16,0.0,0.032021152,0.16186839,0.00976792,0.16186839
4,0.0,-0.0,2.09,4.0,4.0,4.0,0.312604392,1.0,0.876659536,0.0,0.428571429,0.949950769,0.998495347,0.999979093,1.0,1.875780286,0.5,0.078380211,-0.0,1.24e-07,2.8391e-05,0.002037924,0.076873077,0.323733112,2.44,0.594792733,0.370955171,./feature_computations/9dlx_vliw_at_b_iq7_features_orig.csv,40.98,930.05,0.000273069,0.001683923,0.003853301,0.000773694,0.003731938
5,0.0,-0.0,2.28,5.0,5.0,5.0,0.442503801,1.0,0.66992676,0.0,0.201694195,0.444055344,0.745936833,0.941679904,0.99681467,0.769309495,0.5,0.235557208,-0.0,0.001139442,0.050908056,0.226658733,0.411764706,0.5,2.48,0.43161372,0.364764435,./feature_computations/9dlx_vliw_at_b_iq7_features_0.csv,47.47,1256.9,0.0,1.5171e-05,0.001816706,1.5171e-05,0.000254111
6,0.0103354,0.167944148,2.02,19.0,18.96,18.0,0.435668158,1.0,0.675171214,8e-09,0.201528266,0.407558649,0.810904839,0.888538661,0.973271515,0.970934231,0.094583636,0.01448849,-0.0,3.21e-07,0.001583432,0.011004862,0.020868243,0.037182943,2.04,0.541739005,0.158686783,./feature_computations/UR-20-10p0_features_orig.csv,4.46,0.98,0.001854761,0.079951122,0.376072852,0.00928108,0.376072852
7,0.037560615,1.073831323,2.03,21.0,19.476190476,18.0,0.643198175,0.988379572,0.508347728,3.6e-08,0.045668084,0.171910808,0.631936617,0.816331056,0.872081815,0.989287936,0.232167258,0.020592957,5.8e-08,3.289e-06,0.00215176,0.017946211,0.032109486,0.046025627,2.03,0.572201193,0.165899012,./feature_computations/UR-20-10p0_features_0.csv,4.78,13.74,0.000806874,0.006491335,0.089315829,0.000806874,0.012546522
8,0.065920878,0.667093674,2.02,8.0,7.386363636,7.0,0.427744011,0.999996147,0.579744724,0.0,0.154710286,0.439881814,0.633387183,0.740936104,0.866317558,0.763582924,0.447399271,0.079308392,-0.0,0.00115011,0.025036917,0.077134803,0.122160729,0.15033318,2.0,0.067214735,0.018395038,./feature_computations/manol-pipe-g10bid_i_features_orig.csv,2.97,0.18,0.00016395,0.015786022,0.016652614,0.011499906,0.016652614
9,0.087876267,0.982981565,2.04,9.0,7.372093023,6.0,0.652661872,1.0,0.403149616,0.0,0.064288347,0.163371432,0.393861377,0.61681139,0.77439989,0.685907084,0.486459461,0.107772397,-0.0,0.000440153,0.040052769,0.113614575,0.171128363,0.202285084,2.01,0.080524379,0.023250394,./feature_computations/manol-pipe-g10bid_i_features_0.csv,3.32,4.47,1.9827e-05,0.000535332,0.00898168,1.9827e-05,0.00267666
