,neighbours_conn,center_conn,close_nodes_ratio,spath_length_avg,ind_dif_avg,spath_ind_dif,ind_spath_ratio,sel_nodes_ratio,cnfname
0,0.14357582180233322,0.16148003200579386,0.9992592592592592,1,937,936,937,0.5,random_train_preprocessed/unif-k4-r9.931-v2700-c26814-S9991714946954520_preprocessed.cnf
0,0.14546569597695758,0.1638977949757386,1.0,1,40,39,40,0.5,random_train_preprocessed/unif-k6-r43.37-v135-c5855-S8422836956505949526_preprocessed.cnf
0,0.14389094192415305,0.16220052358980594,0.9978947368421052,1,616,615,616,0.5,random_train_preprocessed/unif-k4-r9.931-v1900-c18869-S1239874793854568987_preprocessed.cnf
0,0.1443134764006961,0.16747632052888572,1.0,1,52,51,52,0.5,random_train_preprocessed/unif-k6-r43.37-v180-c7807-S5441545088291925698_preprocessed.cnf
0,0.14430884495852894,0.1697143220716421,1.0,1,54,53,54,0.5,random_train_preprocessed/unif-k7-r87.79-v156-c13695-S5080321289425073448_preprocessed.cnf
0,0.1463099734144139,0.16786066066066066,1.0,1,26,25,26,0.5,random_train_preprocessed/unif-k7-r87.79-v75-c6584-S572446933024204198_preprocessed.cnf
0,0.14424530166819624,0.16380651421575254,1.0,1,97,96,97,0.5,random_train_preprocessed/unif-k5-r21.117-v320-c6757-S1173463319437652855_preprocessed.cnf
0,0.14397615501128014,0.16282195575659572,1.0,1,166,165,166,0.5,random_train_preprocessed/unif-k5-r21.117-v500-c10559-S2750417387912864_preprocessed.cnf
0,0.14546963214767472,0.17155197541579578,1.0,1,40,39,40,0.5,random_train_preprocessed/unif-k7-r87.79-v123-c10798-S4422374668872171580_preprocessed.cnf
0,0.14342415325882665,0.16143214294107416,1.0,1,120,119,120,0.5,random_train_preprocessed/unif-k5-r21.117-v330-c6969-S6067028164938132550_preprocessed.cnf
0,0.14529150910829886,0.1639866633219824,1.0,1,45,44,45,0.5,random_train_preprocessed/unif-k7-r87.79-v159-c13959-S1553474720339832474_preprocessed.cnf
0,0.14429681044614706,0.1681895892082655,1.0,1,93,92,93,0.5,random_train_preprocessed/unif-k6-r43.37-v260-c11276-S6928946103252192068_preprocessed.cnf
0,0.14332863529389647,0.1616881279515808,1.0,1,778,777,778,0.5,random_train_preprocessed/unif-k4-r9.931-v2400-c23834-S3044879145899745647_preprocessed.cnf
0,0.14553144623157468,0.1658038709677419,1.0,1,34,33,34,0.5,random_train_preprocessed/unif-k6-r43.37-v125-c5421-S4483684816378092975_preprocessed.cnf
0,0.14393428684547707,0.16160343498808247,1.0,1,135,134,135,0.5,random_train_preprocessed/unif-k5-r21.117-v380-c8024-S5062228093844582480_preprocessed.cnf
0,0.1444359159645227,0.16953707498466442,0.9915555555555556,3,3047,3044,1015,0.5,random_train_preprocessed/unif-k3-r4.267-v9000-c38403-S3954217171185439635_preprocessed.cnf
0,0.1449746753420167,0.1613435161774336,1.0,1,65,64,65,0.5,random_train_preprocessed/unif-k6-r43.37-v245-c10626-S6612926516169101632_preprocessed.cnf
0,0.14414204034840994,0.16046656314589944,1.0,1,121,120,121,0.5,random_train_preprocessed/unif-k5-r21.117-v310-c6546-S5508893645533741290_preprocessed.cnf
0,0.14424630702087188,0.16345226057068155,0.9967567567567568,1,580,579,580,0.5,random_train_preprocessed/unif-k4-r9.931-v1850-c18372-S7254399457290688678_preprocessed.cnf
0,0.14433671149651373,0.167078708365288,1.0,1,65,64,65,0.5,random_train_preprocessed/unif-k6-r43.37-v220-c9541-S5446068683621075341_preprocessed.cnf
0,0.1440954314415325,0.1635695464016314,1.0,1,213,212,213,0.5,random_train_preprocessed/unif-k5-r21.117-v540-c11403-S5264065948529668206_preprocessed.cnf
