,neighbours_conn,center_conn,close_nodes_ratio,spath_length_avg,ind_dif_avg,spath_ind_dif,ind_spath_ratio,sel_nodes_ratio,cnfname
0,0.08370882149193833,0.08515860530201183,0.9953905464297688,11,31578,31567,2870,0.5,sc14-app_train_preprocessed/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN_preprocessed.cnf
0,0.11175730319828614,0.14128282103575354,0.9982434127979924,2,8014,8012,4007,0.5,sc14-app_train_preprocessed/7pipe_k_preprocessed.cnf
0,0.12842824644603262,0.12235040616149655,0.9996957480794098,8,8617,8609,1077,0.5,sc14-app_train_preprocessed/bob12s02_preprocessed.cnf
0,0.10251621316186882,0.1000605088105,1.0,1,193,192,193,0.5,sc14-app_train_preprocessed/complete-300-0.1-7-9876543213007_preprocessed.cnf
0,0.12031007022680858,0.219328194894882,0.8447869446962829,4,10939,10935,2734,0.5,sc14-app_train_preprocessed/q_query_3_l46_lambda_preprocessed.cnf
0,0.11149316379355532,0.10333854748731834,0.9925141743444366,14,60297,60283,4306,0.5,sc14-app_train_preprocessed/dated-10-13-u_preprocessed.cnf
0,0.12808039510305114,0.12206584577325127,0.9897852905097324,14,85918,85904,6137,0.5,sc14-app_train_preprocessed/UR-20-10p1_preprocessed.cnf
0,0.11173892267773328,0.09816558416154468,0.9985762729414202,6,25749,25743,4291,0.5,sc14-app_train_preprocessed/AProVE09-06_preprocessed.cnf
0,0.13989001342105653,0.15458484357179772,0.9164979757085021,7,10469,10462,1495,0.5,sc14-app_train_preprocessed/gss-22-s100_preprocessed.cnf
0,0.11465019093222645,0.09315126427981417,0.998741346758968,6,3172,3166,528,0.5,sc14-app_train_preprocessed/MD5-32-5_preprocessed.cnf
0,0.13289678568658575,0.14326603002647184,0.942390369733448,14,6059,6045,432,0.5,sc14-app_train_preprocessed/countbitssrl032_preprocessed.cnf
0,0.1276844585221098,0.12166799810625654,0.9898756482290112,14,86949,86935,6210,0.5,sc14-app_train_preprocessed/UR-20-10p0_preprocessed.cnf
0,0.13930785414119706,0.15358374697588728,0.9168499780026396,7,10586,10579,1512,0.5,sc14-app_train_preprocessed/gss-24-s100_preprocessed.cnf
0,0.11442168999706916,0.09205430278405057,0.999033349444176,6,2739,2733,456,0.5,sc14-app_train_preprocessed/MD5-28-3_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4503,4499,1125,0.5,sc14-app_train_preprocessed/001-80-12_preprocessed.cnf
0,0.1443497243149729,0.16405388471177934,1.0,1,137,136,137,0.5,sc14-app_train_preprocessed/stable-400-0.1-11-98765432140011_preprocessed.cnf
0,0.1064340095464458,0.10321354621577987,0.9944852941176472,4,5055,5051,1263,0.5,sc14-app_train_preprocessed/ctl_4291_567_5_unsat_pre_preprocessed.cnf
0,0.0967144919166207,0.1924497206029632,0.7718120805369127,2,747,745,373,0.5,sc14-app_train_preprocessed/rpoc_xits_15_SAT_preprocessed.cnf
0,0.12753916233428775,0.1229931482693486,0.9770056533062312,6,10377,10371,1729,0.5,sc14-app_train_preprocessed/6s16_preprocessed.cnf
0,0.1263956907784125,0.11315212345326126,0.9998508353221957,4,4526,4522,1131,0.5,sc14-app_train_preprocessed/006-80-4_preprocessed.cnf
0,0.13206231620287395,0.10425105819485506,0.996663040422437,25,54850,54825,2194,0.5,sc14-app_train_preprocessed/hwmcc10-timeframe-expansion-k45-pdtvisns3p02-tseitin_preprocessed.cnf
0,0.13240960850139116,0.13692981065683926,0.9706896551724138,6,1541,1535,256,0.5,sc14-app_train_preprocessed/6s167-opt_preprocessed.cnf
0,0.10209704402694562,0.09954090899347047,1.0,1,277,276,277,0.5,sc14-app_train_preprocessed/complete-400-0.1-7-9876543214007_preprocessed.cnf
0,0.10190181481779713,0.0994604104709425,1.0,1,284,283,284,0.5,sc14-app_train_preprocessed/complete-400-0.1-16-98765432140016_preprocessed.cnf
0,0.11439384072208195,0.0933968776657343,0.9993016759776536,6,2848,2842,474,0.5,sc14-app_train_preprocessed/MD5-29-3_preprocessed.cnf
0,0.11430119234444636,0.09367456163666953,0.9986525937570178,6,2903,2897,483,0.5,sc14-app_train_preprocessed/MD5-30-1_preprocessed.cnf
0,0.1293717482587041,0.17049240935162965,0.9160628479902372,17,17467,17450,1027,0.5,sc14-app_train_preprocessed/IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k40.debugged_preprocessed.cnf
0,0.14389522414004766,0.15554131080913233,1.0,1,391,390,391,0.5,sc14-app_train_preprocessed/vmpc_33_preprocessed.cnf
0,0.10235509708112528,0.1000097352864416,1.0,1,205,204,205,0.5,sc14-app_train_preprocessed/complete-300-0.1-4-9876543213004_preprocessed.cnf
