,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,DIAMETER-mean,DIAMETER-coeff-variation,DIAMETER-min,DIAMETER-max,DIAMETER-entropy,DIAMETER-featuretime,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,vars-reduced-depth-1,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,vars-reduced-depth-256,unit-featuretime,LP_OBJ,LPSLack-mean,LPSLack-coeff-variation,LPSLack-min,LPSLack-max,lpIntRatio,lpTIME,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime,cnfname
0,559571.0,10223027.0,403920.0,7128902.0,0.38535106,0.43402546399999997,13.02,0.056659497,0.79095127,0.501130116,0.0,1.0,0.646119609,5.403999999999999e-06,3.372097033,4.9510000000000005e-06,0.003485839,0.17799184199999998,0.0,0.961165268,0.997827997,0.7,5.403999999999999e-06,1.921449542,8.42e-07,0.000597427,1.866018253,0.426367586,0.32630893699999997,0.0,0.99408284,1.711286035,4.759e-06,2.188131428,5.61e-07,0.0005968659999999999,1.7909778980000002,0.9611571320000001,0.000129654,0.709395881,5.61e-07,0.000794372,260.0,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.28,98.875,0.003344818,98.0,99.0,0.376770161,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.9611672090000001,0.100630908,0.00014387299999999998,0.999808435,0.994524727,0.9480460820000001,0.991888049,0.961814765,0.983566818,0.035376986,1.203374593,-0.0,0.5,0.07334165599999999,0.008569774,0.057627767999999996,0.010346095999999999,0.014198415,33.78,0.010613488,0.826797386,0.826797386,0.826797386,0.826797386,1.92,-512.0,0.0,0.0,0.0,0.0,0.0,60.44,1576360.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9048,0.0,9.7302,0.0,4.74,738348.0,0.880004,0.0,0.0,0.0,0.0,0.0,26.8606,0.641639,2.18428,0.6437,4.7,0.21242935899999998,0.335078959,2.12,sc14-app_orig/blocks-blocks-37-1.130-NOTKNOWN_features_preprocessed.txt
0,33903.0,99184.0,11379.0,55899.0,1.979435803,0.774343012,0.42,0.20356357,0.482115901,0.779792085,0.0,1.0,1.595348802,0.0002904,0.57898696,0.00017576200000000002,0.0043940590000000005,1.422462004,0.0,0.26154314,0.725970053,0.0,0.0002904,1.592207608,5.3668e-05,0.034168769,2.993935677,0.159878233,0.13887519,0.0,1.0,3.0956376960000003,0.000121685,1.861115824,1.7889e-05,0.019302671,2.451592737,0.531208072,0.000319856,1.358127383,5.3668e-05,0.025653411,0.22,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.04,9.357471263999999,0.10499694,7.0,11.0,1.299202647,2.02,489.965517241,0.513390648,42.0,1024.0,851.0,68.0,688.0,338.0,476.0,17.53499346,0.367756277,5.214285714,38.995299646999996,25.033942559,12.668316832,19.861578266,13.423809524000001,15.777096115,2.0,0.33981940200000005,0.649110551,0.0,1.0,0.654839395,0.059622543,0.51070169,0.154861873,0.312726695,0.073769658,0.879465953,-0.0,0.37986118399999996,0.147834551,0.0033728190000000004,0.11180774199999999,0.026065124,0.056266214,1.0,0.0,8.788100000000001e-05,0.34897618399999997,0.38948941,0.38948941,0.1,-512.0,0.0,0.0,0.0,0.0,0.0,27.66,149.917,1.12268,2914.88,0.0155299,2925.5,2854.0,2958.0,0.592028,0.493808,0.85496,0.0261853,2.18,514.466,0.0551672,2919.71,0.0127559,2923.0,2874.0,2961.0,0.44065,0.352127,0.899237,0.0071951,2.38,0.11504049400000001,0.588457593,2.0,sc14-app_orig/6s10_features_preprocessed.txt
0,1376701.0,5395102.0,428670.0,2842288.0,2.211563674,0.898154585,24.04,0.150818636,0.301640759,1.119779296,0.0,1.0,1.801265225,7.79e-06,0.6199041829999999,4.666e-06,4.4323e-05,1.565426625,0.0,0.516064874,0.703132828,0.38,7.79e-06,1.802959903,3.5200000000000003e-07,0.00027372299999999997,3.4531348889999998,0.19520899,0.167145194,0.0,1.0,3.525375583,4.175e-06,1.652662969,0.0,0.00012876899999999999,3.055379903,0.6773497270000001,8.131e-06,1.220461748,3.5200000000000003e-07,0.00020793099999999998,291.86,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.16,43.7,0.014652458,42.0,44.0,0.63903186,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.5697065029999999,0.503479637,0.0,1.0,0.9056922959999999,0.13727095,0.814546799,0.325964326,0.634909928,0.27090247300000003,0.5224398610000001,-0.0,1.0,0.5,0.078101459,0.379757424,0.164615508,0.261448363,9.0,0.0,0.000394243,0.000828143,0.000886463,0.000886463,0.16,-512.0,0.0,0.0,0.0,0.0,0.0,60.68,363473.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7175,0.0,4.7872,0.0,3.6,99163.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39141,0.0,1.27229,0.0,3.54,0.0038294170000000003,0.019566943,2.02,sc14-app_orig/SAT_dat.k85-24_1_rule_3_features_preprocessed.txt
0,249327.0,746444.0,76979.0,397738.0,2.238896322,0.876722868,6.14,0.19354198,0.495854389,0.719227152,0.0,1.0,1.476989369,4.4506000000000004e-05,0.879236637,2.5981e-05,0.003325582,1.385115099,0.0,0.282872142,0.778801623,0.06,4.4506000000000004e-05,2.505437385,1.76e-05,0.001780066,2.28662329,0.161938033,0.18718878,0.0,0.976923077,2.293486481,1.7295e-05,1.89642622,2.514e-06,0.000895062,1.975472102,0.536156968,3.9658e-05,2.874620368,1.2570999999999999e-05,0.001915834,9.34,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02,6.546875,0.076035954,6.0,7.0,0.6887461890000001,2.02,391.0,0.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,42.148337596,0.0,42.148337596,42.148337596,42.148337596,42.148337596,42.148337596,42.148337596,42.148337596,2.0,0.32065832,0.7133691459999999,6.48e-06,1.0,0.534444275,0.017172837,0.520190909,0.14658622400000001,0.314912906,0.060930732,0.75291861,-0.0,0.453049721,0.132583529,0.022554493999999998,0.100375214,0.023426895,0.033937344,3.24,0.0,1.2991e-05,0.000103924,0.00046766,0.0015978379999999999,1.44,-512.0,0.0,0.0,0.0,0.0,0.0,61.48,18625.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05095,0.0,1.52446,0.0,2.36,7404.0,0.54265,10071.5,1.41421,10071.5,0.0,0.0,1.4114,0.879889,1.06551,0.218158,2.36,0.20160071300000001,0.675137965,2.02,sc14-app_orig/minandmaxor128_features_preprocessed.txt
0,4640.0,13523.0,822.0,4048.0,4.644768856000001,2.340662055,0.02,0.203063241,0.43486495399999997,0.760941109,0.0,1.0,1.463779133,0.0038251440000000004,0.38783697100000003,0.00243309,0.02919708,1.169860356,0.0,0.241600791,0.678853755,-0.0,0.0038251440000000004,0.681409753,0.001976285,0.028656126,2.404278722,0.078234332,0.092846434,0.0,0.666666667,2.014668398,0.002057728,0.941891285,0.0,0.01729249,2.240526632,0.5993083,0.0022022829999999998,0.984900675,0.001235178,0.019762846,-0.0,0.0074596440000000005,0.791876666,0.001235178,0.048913042999999996,3.9601396280000003,0.273726973,0.5575039039999999,0.017714837,1.0,3.524854803,0.14,5.784409257,0.108408509,4.0,7.0,0.9471157379999999,0.1,1208.411764706,0.43523508200000005,610.0,2768.0,1794.0,707.0,1423.0,839.0,1100.0,36.577333678,0.184763099,22.721311475,50.448198198,47.979323308000005,26.306930693,41.458453757,34.507664563,35.420909091,2.0,0.297947165,0.766983509,0.0,0.8309575570000001,0.738265843,0.052201700999999996,0.452567635,0.084315007,0.238034603,0.055352661,1.200317904,0.0,0.42744490399999996,0.1029187,0.013791962,0.058504466,0.025759241000000002,0.03253001,0.06,0.0,0.0,0.010948905,0.03892944,0.03892944,0.0,-512.0,0.0,0.0,0.0,0.0,0.0,60.04,26.4295,0.31743,167.539,0.0540256,167.0,156.0,179.0,0.81482,0.224827,0.830755,0.0271127,2.28,36.582,0.171543,167.327,0.0526661,167.0,156.0,179.0,0.42123,0.329437,0.847243,0.0230065,2.62,0.317150469,0.986330286,2.0,sc14-app_orig/6s167-opt_features_preprocessed.txt
0,269048.0,799867.0,43414.0,340883.0,5.197263556,1.346456115,2.74,0.12735748,0.373595567,0.707469503,0.0,1.0,1.7719390640000001,9.0721e-05,0.38209979299999997,4.6068e-05,0.000944396,1.6294117240000001,0.0,0.121311418,0.463094375,0.02,9.0721e-05,1.75794402,2.0535e-05,0.006453827,2.8551203710000004,0.17478114100000003,0.150078787,0.0,0.969924812,2.756057556,3.2952e-05,2.17009675,0.0,0.0031887770000000003,2.508933135,0.46841878299999995,7.336199999999999e-05,1.607859995,1.4668e-05,0.004054177,3.06,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.04,7.456140351,0.069122027,7.0,9.0,0.7307717990000001,2.02,303.842105263,0.36029893799999996,42.0,439.0,420.0,71.0,379.0,237.0,342.0,10.998546013,0.149428359,6.595238095,14.139240505999998,13.126760563,9.619047619,12.269047619,9.982843137,10.912328767,1.98,0.600638861,0.40544178700000005,0.0,0.9999956170000001,0.8671752779999999,0.175631927,0.764200703,0.506531061,0.654297439,0.07699412,0.792839195,-0.0,0.463221647,0.149317279,0.0007633830000000001,0.120081707,0.023130707,0.073529367,2.92,0.0,0.0,0.0,0.000714055,0.000714055,0.16,-512.0,0.0,0.0,0.0,0.0,0.0,62.1,14400.0,1.33781,5994.5,1.41421,5994.5,0.0,0.0,6.0127,1.29469,4.16383,1.11738,2.26,2929.0,0.994102,9513.6,0.559116,11828.0,0.0,11939.0,0.81109,1.33568,0.984939,0.200569,2.38,0.01943188,0.076788088,2.0,sc14-app_orig/atco_enc3_opt2_18_44_features_preprocessed.txt
0,269048.0,799867.0,43414.0,340883.0,5.197263556,1.346456115,2.74,0.12735748,0.373595567,0.707469503,0.0,1.0,1.7719390640000001,9.0721e-05,0.38209979299999997,4.6068e-05,0.000944396,1.6294117240000001,0.0,0.121311418,0.463094375,0.02,9.0721e-05,1.75794402,2.0535e-05,0.006453827,2.8551203710000004,0.17478114100000003,0.150078787,0.0,0.969924812,2.756057556,3.2952e-05,2.17009675,0.0,0.0031887770000000003,2.508933135,0.46841878299999995,7.336199999999999e-05,1.607859995,1.4668e-05,0.004054177,3.06,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.04,7.456140351,0.069122027,7.0,9.0,0.7307717990000001,2.02,303.842105263,0.36029893799999996,42.0,439.0,420.0,71.0,379.0,237.0,342.0,10.998546013,0.149428359,6.595238095,14.139240505999998,13.126760563,9.619047619,12.269047619,9.982843137,10.912328767,1.98,0.600638861,0.40544178700000005,0.0,0.9999956170000001,0.8671752779999999,0.175631927,0.764200703,0.506531061,0.654297439,0.07699412,0.792839195,-0.0,0.463221647,0.149317279,0.0007633830000000001,0.120081707,0.023130707,0.073529367,2.92,0.0,0.0,0.0,0.000714055,0.000714055,0.16,-512.0,0.0,0.0,0.0,0.0,0.0,62.1,14400.0,1.33781,5994.5,1.41421,5994.5,0.0,0.0,6.0127,1.29469,4.16383,1.11738,2.26,2929.0,0.994102,9513.6,0.559116,11828.0,0.0,11939.0,0.81109,1.33568,0.984939,0.200569,2.38,0.01943188,0.076788088,2.0,sc14-app_orig/atco_enc3_opt2_18_44_features_preprocessed.txt
0,152428.0,441729.0,41484.0,197664.0,2.6743804840000003,1.234746843,2.68,0.20987129699999998,0.39792421200000005,0.68246403,0.0,1.0,1.24141783,8.1844e-05,0.762084031,4.8211e-05,0.0017115029999999999,1.0178962679999999,0.0,0.092798891,0.8308189659999999,0.04,8.1844e-05,5.242446859,3.5414000000000003e-05,0.043002266,2.0826726069999997,0.088371456,0.09644359599999999,0.0,1.0,1.782978695,2.5134e-05,3.8720796739999996,0.0,0.012146876000000001,1.6833261309999998,0.35796604299999996,6.5775e-05,2.831603988,2.0236e-05,0.014883843,2.9,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.76,16.481308411,0.044945079000000006,15.0,18.0,0.959080699,2.02,313.842105263,0.597876644,27.0,700.0,580.0,40.0,419.0,90.0,342.0,11.201752095,0.413359907,3.75,23.592592593000003,16.367307692,4.6,14.861290322999999,8.786743516,10.353221957,2.0,0.195007097,0.8117123079999999,0.0,1.0,0.393419125,0.054563257000000004,0.191878195,0.14876194,0.155980685,0.064577955,0.988055602,-0.0,1.0,0.121699603,0.025085218,0.061674629,0.038340713,0.050474925,2.58,0.001590975,0.001735609,0.002314145,0.004218494000000001,0.005038087,0.14,-512.0,0.0,0.0,0.0,0.0,0.0,64.42,11126.5,1.27453,4002.0,1.41421,4002.0,0.0,0.0,5.86909,1.32622,4.58706,1.16969,2.14,2113.6,0.0183686,7977.2,0.00555928,7966.0,7919.0,8003.0,0.233187,0.134292,0.828094,0.00595714,2.22,0.050550702,0.185313289,2.0,sc14-app_orig/itox_vc1130_features_preprocessed.txt
0,800.0,47365.0,800.0,47365.0,0.0,0.0,0.46,0.016890109,0.639049981,0.72641806,0.0,1.0,1.4832891330000002,0.017946796,1.282207144,0.0025,0.08125,1.6412550259999998,0.0,0.681473662,0.681473662,0.02,0.017946796,0.92246996,0.00120342,0.046954502,5.271226561000001,0.443779597,0.363993853,0.0,0.851926978,3.2507148710000004,0.0021348829999999997,0.221142747,0.001182308,0.003293571,4.297612104,0.689918716,0.009222685999999999,0.017779998999999998,0.008191703,0.009606249,0.16,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,22.82,3.0,0.0,3.0,3.0,-0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.883079167,0.175591571,0.223908388,0.9999913159999999,0.999663677,0.644349472,0.998648835,0.778733681,0.97781443,0.00048129300000000004,1.621388984,0.0,0.00690981,0.001227647,1.8e-08,0.000657567,1.1415999999999999e-05,0.00020605099999999998,3.72,0.1075,0.2975,0.9875,0.9875,0.9875,0.24,-512.0,0.0,0.0,0.0,0.0,0.0,96.38,9.41667,1.7581,352.75,0.321982,393.5,338.0,406.0,18.715,0.200508,0.9983,0.00427006,2.12,27.1667,1.84956,357.667,0.320641,396.5,336.0,406.0,21.4052,0.29015,1.00087,0.00529789,2.1,0.544704969,0.8270863540000001,2.0,sc14-app_orig/complete-400-0.1-7-9876543214007_features_preprocessed.txt
0,224986.0,1204430.0,121248.0,834371.0,0.855585247,0.443518531,4.2,0.145316652,0.400247122,0.911555847,0.0,1.0,1.399944193,2.3064e-05,0.43032079700000003,1.6495e-05,8.2476e-05,1.08255163,0.0,0.517375364,0.869874432,0.1,2.3064e-05,0.747414895,8.39e-06,8.03e-05,2.993225568,0.221257797,0.148078982,0.0,0.84,2.86110922,1.2940999999999999e-05,0.8471908640000001,3.5960000000000004e-06,5.5131000000000005e-05,2.7187823069999997,0.695340562,2.524e-05,0.655778738,5.992999999999999e-06,8.988799999999999e-05,23.4,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.04,21.048780488,0.01023379,21.0,22.0,0.194908687,2.02,4.941176471,1.205265282,0.0,25.0,15.0,1.0,7.0,1.0,2.0,17.718197946,1.877829829,0.0,144.0,40.666666667,1.0,17.16,2.0,5.777777778,1.98,0.572320799,0.5955116979999999,0.0,1.0,0.8998875679999999,0.045671601,0.87468709,0.237098468,0.7757514040000001,0.019474214,1.084910311,-0.0,0.088934272,0.052168365,9.340000000000001e-07,0.036604625,0.001835333,0.0059758319999999995,3.86,0.001641264,0.006565056999999999,0.058425705999999994,0.591143771,0.591143771,1.76,-512.0,0.0,0.0,0.0,0.0,0.0,61.8,86674.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16316,0.0,2.40422,0.0,2.42,47482.0,1.28087,22502.5,1.41421,22502.5,0.0,0.0,3.90207,0.896793,1.75314,0.661139,2.46,0.128869509,0.710415392,2.0,sc14-app_orig/UCG-20-5p1_features_preprocessed.txt
