instance,orig,preprocessed
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/SAT_dat.k35-31_2_rule_2.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/gss-19-s100.cnf,2634.5,2060.01
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb7T45.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-0300-034-t12.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Ehlers/ex145_10.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/6s169-opt.cnf,2207.94,2303.72
/home/v7q8/scratch/2018_SAT_Competition/Manthey/filter_iir_true-unreach-call.c.cnf,1845.95,1825.84
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/MD5-28-4.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Heusser/satcoin-genesis-SAT-7.cnf,2.19887,1.42865
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/manol-pipe-c10nidw.cnf,3099.64,2937.3
/home/v7q8/scratch/2018_SAT_Competition/Jingchao/e_rphp096_04.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-24.6.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-blockpuzzle_5x10_s5_free3.cnf,100.779,74.3807
/home/v7q8/scratch/2018_SAT_Competition/Chen/20180321_110706599_p_cnf_320_1120.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/atco_enc3_opt1_03_53.cnf,1462.31,1359.56
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/atco_enc1_opt2_05_4.cnf,504.868,251.702
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128paralsimpbaig.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-Nb6T06.cnf,92.9299,104.654
/home/v7q8/scratch/2018_SAT_Competition/Heule/CNP-5-700.cnf,604.472,1141.7
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/6s165-nonopt.cnf,2482.7,2134.76
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/aaai10-planning-ipc5-pathways-17-step20.cnf,380.853,275.909
/home/v7q8/scratch/2018_SAT_Competition/Ofer/course0.12_2018_3_1.cnf,2515.61,2412.92
/home/v7q8/scratch/2017_SAT_Competition/g2-modgen-n200-m90860q08c40-6967.cnf,419.522,368.529
/home/v7q8/scratch/2018_SAT_Competition/Scheel/cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf,719.513,795.474
/home/v7q8/scratch/2017_SAT_Competition/mp1-blockpuzzle_7x10_s7_free8.cnf,4117.94,1260.73
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/005-22-160.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/hitag2-8-60-0-0xfba1a41b5dfd7f7-52.cnf,5000.0,3403.69
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/q_query_3_L80_coli.sat.cnf,408.505,231.862
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/queen13_13.col.13.cnf,660.673,596.31
/home/v7q8/scratch/2018_SAT_Competition/Jingchao/a_rphp056_05.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/queen12_12.col.12.cnf,111.318,85.6113
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/huck.col.11.cnf,54.3994,35.8178
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/003-80-8.cnf,677.428,505.102
/home/v7q8/scratch/2018_SAT_Competition/Harder/ecarev-110-1031-23-40-2.cnf,249.233,255.744
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.8_0_1.60_2.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/manol-pipe-c8nidw.cnf,2481.76,2413.6
/home/v7q8/scratch/2018_SAT_Competition/Mayer-Eichberger/8-4-8.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UCG-20-10p0.cnf,2082.45,1202.7
/home/v7q8/scratch/2017_SAT_Competition/mp1-rubikcube901.cnf,220.461,197.607
/home/v7q8/scratch/2018_SAT_Competition/Jingchao/a_rphp065_04.cnf,857.436,814.499
/home/v7q8/scratch/2017_SAT_Competition/mp1-squ_any_s09x07_c27_bail_UNS.cnf,362.129,399.814
/home/v7q8/scratch/2017_SAT_Competition/mp1-rubikcube601.cnf,194.67,173.704
/home/v7q8/scratch/2018_SAT_Competition/Mayer-Eichberger/6-4-6.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-23.2.cnf,5000.0,5000.0
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/6s17-opt.cnf,3052.15,2842.14
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/hitag2-8-60-0-0x1eb82244d7f1c3c-47.cnf,1950.9,1780.38
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/E02F20.cnf,2447.78,181.501
/home/v7q8/scratch/2018_SAT_Competition/Liang/commutativity.c.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Zha/factoring54018521x562448657.cnf,5000.0,5000.0
